n
"{""tagline"":Welcome to the Real World,""votes"":3651,""title"":The Matrix,""released"":1999}"
"{""tagline"":Free your mind,""votes"":872,""title"":The Matrix Reloaded,""released"":2003}"
"{""tagline"":Everything that has a beginning has an end,""votes"":940,""title"":The Matrix Revolutions,""released"":2003}"
"{""tagline"":Evil has its winning ways,""votes"":156,""title"":The Devil's Advocate,""released"":1997}"
"{""tagline"":In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.,""votes"":285,""title"":A Few Good Men,""released"":1992}"
"{""tagline"":I feel the need, the need for speed.,""votes"":351,""title"":Top Gun,""released"":1986}"
"{""tagline"":The rest of his life begins now.,""votes"":89,""title"":Jerry Maguire,""released"":2000}"
"{""tagline"":For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.,""votes"":43,""title"":Stand By Me,""released"":1986}"
"{""tagline"":A comedy from the heart that goes for the throat.,""votes"":59,""title"":As Good as It Gets,""released"":1997}"
"{""tagline"":After life there is more. The end is just the beginning.,""votes"":26,""title"":What Dreams May Come,""released"":1998}"
"{""tagline"":First loves last. Forever.,""votes"":26,""title"":Snow Falling on Cedars,""released"":1999}"
"{""tagline"":At odds in life... in love on-line.,""votes"":36,""title"":You've Got Mail,""released"":1998}"
"{""tagline"":What if someone you never met, someone you never saw, someone you never knew was the only someone for you?,""votes"":36,""title"":Sleepless in Seattle,""released"":1993}"
"{""tagline"":A story of love, lava and burning desire.,""votes"":36,""title"":Joe Versus the Volcano,""released"":1990}"
"{""tagline"":Can two friends sleep together and still love each other in the morning?,""votes"":14,""title"":When Harry Met Sally,""released"":1998}"
"{""tagline"":In every life there comes a time when that thing you dream becomes that thing you do,""votes"":9,""title"":That Thing You Do,""released"":1996}"
"{""tagline"":Pain heals, Chicks dig scars... Glory lasts forever,""votes"":13,""title"":The Replacements,""released"":2000}"
"{""tagline"":Based on the extraordinary true story of one man's fight for freedom,""votes"":12,""title"":RescueDawn,""released"":2006}"
"{""tagline"":Come as you are,""votes"":26,""title"":The Birdcage,""released"":1996}"
"{""tagline"":It's a hell of a thing, killing a man,""votes"":10,""title"":Unforgiven,""released"":1992}"
"{""tagline"":The hottest data on earth. In the coolest head in town,""votes"":25,""title"":Johnny Mnemonic,""released"":1995}"
"{""tagline"":Everything is connected,""votes"":94,""title"":Cloud Atlas,""released"":2012}"
"{""tagline"":Break The Codes,""votes"":35,""title"":The Da Vinci Code,""released"":2006}"
"{""tagline"":Freedom! Forever!,""votes"":25,""title"":V for Vendetta,""released"":2006}"
"{""tagline"":Speed has no limits,""votes"":25,""title"":Speed Racer,""released"":2008}"
"{""tagline"":Prepare to enter a secret world of assassins,""votes"":8,""title"":Ninja Assassin,""released"":2009}"
"{""tagline"":Walk a mile you'll never forget.,""votes"":18,""title"":The Green Mile,""released"":1999}"
"{""tagline"":400 million people were waiting for the truth.,""votes"":0,""title"":Frost/Nixon,""released"":2008}"
"{""tagline"":He didn't want law. He wanted justice.,""votes"":18,""title"":Hoffa,""released"":1992}"
"{""tagline"":Houston, we have a problem.,""votes"":46,""title"":Apollo 13,""released"":1995}"
"{""tagline"":Don't Breathe. Don't Look Back.,""votes"":21,""title"":Twister,""released"":1996}"
"{""tagline"":At the edge of the world, his journey begins.,""votes"":73,""title"":Cast Away,""released"":2000}"
"{""tagline"":If he's crazy, what does that make you?,""votes"":13,""title"":One Flew Over the Cuckoo's Nest,""released"":1975}"
"{""votes"":22,""title"":Something's Gotta Give,""released"":2003}"
"{""tagline"":One robot's 200 year journey to become an ordinary man.,""votes"":32,""title"":Bicentennial Man,""released"":1999}"
"{""tagline"":A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,""votes"":15,""title"":Charlie Wilson's War,""released"":2007}"
"{""tagline"":This Holiday Season… Believe,""votes"":47,""title"":The Polar Express,""released"":2004}"
"{""tagline"":Once in a lifetime you get a chance to do something different.,""votes"":49,""title"":A League of Their Own,""released"":1992}"
