n
"{""born"":1964,""name"":Keanu Reeves}"
"{""born"":1967,""name"":Carrie-Anne Moss}"
"{""born"":1961,""name"":Laurence Fishburne}"
"{""born"":1960,""name"":Hugo Weaving}"
"{""born"":1967,""name"":Lilly Wachowski}"
"{""born"":1965,""name"":Lana Wachowski}"
"{""born"":1952,""name"":Joel Silver}"
"{""born"":1978,""name"":Emil Eifrem}"
"{""born"":1975,""name"":Charlize Theron}"
"{""born"":1940,""name"":Al Pacino}"
"{""born"":1944,""name"":Taylor Hackford}"
"{""born"":1962,""name"":Tom Cruise}"
"{""born"":1937,""name"":Jack Nicholson}"
"{""born"":1962,""name"":Demi Moore}"
"{""born"":1958,""name"":Kevin Bacon}"
"{""born"":1966,""name"":Kiefer Sutherland}"
"{""born"":1971,""name"":Noah Wyle}"
"{""born"":1968,""name"":Cuba Gooding Jr.}"
"{""born"":1957,""name"":Kevin Pollak}"
"{""born"":1943,""name"":J.T. Walsh}"
"{""born"":1967,""name"":James Marshall}"
"{""born"":1948,""name"":Christopher Guest}"
"{""born"":1947,""name"":Rob Reiner}"
"{""born"":1961,""name"":Aaron Sorkin}"
"{""born"":1957,""name"":Kelly McGillis}"
"{""born"":1959,""name"":Val Kilmer}"
"{""born"":1962,""name"":Anthony Edwards}"
"{""born"":1933,""name"":Tom Skerritt}"
"{""born"":1961,""name"":Meg Ryan}"
"{""born"":1944,""name"":Tony Scott}"
"{""born"":1941,""name"":Jim Cash}"
"{""born"":1969,""name"":Renee Zellweger}"
"{""born"":1962,""name"":Kelly Preston}"
"{""born"":1974,""name"":Jerry O'Connell}"
"{""born"":1970,""name"":Jay Mohr}"
"{""born"":1961,""name"":Bonnie Hunt}"
"{""born"":1971,""name"":Regina King}"
"{""born"":1996,""name"":Jonathan Lipnicki}"
"{""born"":1957,""name"":Cameron Crowe}"
"{""born"":1970,""name"":River Phoenix}"
"{""born"":1971,""name"":Corey Feldman}"
"{""born"":1972,""name"":Wil Wheaton}"
"{""born"":1966,""name"":John Cusack}"
"{""born"":1942,""name"":Marshall Bell}"
"{""born"":1963,""name"":Helen Hunt}"
"{""born"":1963,""name"":Greg Kinnear}"
"{""born"":1940,""name"":James L. Brooks}"
"{""born"":1960,""name"":Annabella Sciorra}"
"{""born"":1929,""name"":Max von Sydow}"
"{""born"":1942,""name"":Werner Herzog}"
"{""born"":1951,""name"":Robin Williams}"
"{""born"":1956,""name"":Vincent Ward}"
"{""born"":1970,""name"":Ethan Hawke}"
"{""born"":1971,""name"":Rick Yune}"
