n
"{""country"":UK,""contactTitle"":Purchasing Manager,""address"":49 Gilbert St.,""supplierID"":1,""phone"":(171) 555-2222,""city"":London,""contactName"":Charlotte Cooper,""companyName"":Exotic Liquids,""postalCode"":EC1 4SD,""region"":NULL,""fax"":NULL,""homePage"":NULL}"
"{""country"":USA,""contactTitle"":Order Administrator,""address"":P.O. Box 78934,""supplierID"":2,""phone"":(100) 555-4822,""city"":New Orleans,""contactName"":Shelley Burke,""companyName"":New Orleans Cajun Delights,""postalCode"":70117,""region"":LA,""fax"":NULL,""homePage"":#CAJUN.HTM#}"
"{""country"":USA,""contactTitle"":Sales Representative,""address"":707 Oxford Rd.,""supplierID"":3,""phone"":(313) 555-5735,""city"":Ann Arbor,""contactName"":Regina Murphy,""companyName"":Grandma Kelly's Homestead,""postalCode"":48104,""fax"":(313) 555-3349,""region"":MI,""homePage"":NULL}"
"{""country"":Japan,""contactTitle"":Marketing Manager,""address"":9-8 Sekimai Musashino-shi,""supplierID"":4,""city"":Tokyo,""phone"":(03) 3555-5011,""contactName"":Yoshi Nagase,""companyName"":Tokyo Traders,""postalCode"":100,""region"":NULL,""fax"":NULL,""homePage"":NULL}"
"{""country"":Spain,""contactTitle"":Export Administrator,""address"":Calle del Rosal 4,""supplierID"":5,""city"":Oviedo,""phone"":(98) 598 76 54,""contactName"":Antonio del Valle Saavedra,""companyName"":Cooperativa de Quesos 'Las Cabras',""postalCode"":33007,""region"":Asturias,""fax"":NULL,""homePage"":NULL}"
"{""country"":Japan,""contactTitle"":Marketing Representative,""address"":92 Setsuko Chuo-ku,""supplierID"":6,""city"":Osaka,""phone"":(06) 431-7877,""contactName"":Mayumi Ohno,""companyName"":Mayumi's,""postalCode"":545,""region"":NULL,""fax"":NULL,""homePage"":Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#}"
"{""country"":3058,""address"":Marketing Manager,""supplierID"":7,""contactTitle"":Ian Devling,""phone"":Australia,""city"":74 Rose St. Moonie Ponds,""contactName"": Ltd.,""postalCode"":Victoria,""companyName"":Pavlova,""fax"":(03) 444-2343,""region"":Melbourne,""homePage"":(03) 444-6588}"
"{""country"":M14 GSD,""contactTitle"":Peter Wilson,""address"":Sales Representative,""supplierID"":8,""city"":29 King's Way,""phone"":UK,""contactName"": Ltd.,""companyName"":Specialty Biscuits,""postalCode"":NULL,""fax"":(161) 555-4448,""region"":Manchester,""homePage"":NULL}"
"{""country"":Sweden,""contactTitle"":Sales Agent,""address"":Kaloadagatan 13,""supplierID"":9,""phone"":031-987 65 43,""city"":Göteborg,""contactName"":Lars Peterson,""companyName"":PB Knäckebröd AB,""postalCode"":S-345 67,""fax"":031-987 65 91,""region"":NULL,""homePage"":NULL}"
"{""country"":Brazil,""contactTitle"":Marketing Manager,""address"":Av. das Americanas 12.890,""supplierID"":10,""city"":Sao Paulo,""phone"":(11) 555 4640,""contactName"":Carlos Diaz,""companyName"":Refrescos Americanas LTDA,""postalCode"":5442,""region"":NULL,""fax"":NULL,""homePage"":NULL}"
